% Time Stamp, Integration Time, Reference Current,Diode 1, Diode 2, Diode 3, Diode 4, Diode 5, Diode 6, Diode 7, Diode 8,
2024-May-20_14:32:28.108, 8mS, 80nA,98,156,189,211,147,90,108,2169, 
2024-May-20_14:32:28.228, 8mS, 80nA,100,157,190,213,148,91,109,2210, 
2024-May-20_14:32:28.358, 8mS, 80nA,100,157,190,212,148,91,109,2212, 
2024-May-20_14:32:28.478, 8mS, 80nA,97,155,188,210,147,90,108,2123, 
2024-May-20_14:32:28.608, 8mS, 80nA,98,156,189,211,147,90,108,2165, 
2024-May-20_14:32:28.728, 8mS, 80nA,101,158,191,213,147,90,108,2152, 
2024-May-20_14:32:28.858, 8mS, 80nA,98,155,188,210,147,90,108,2153, 
2024-May-20_14:32:28.978, 8mS, 80nA,101,158,191,214,148,92,109,2238, 
2024-May-20_14:32:29.108, 8mS, 80nA,99,156,189,211,147,91,108,2197, 
2024-May-20_14:32:29.228, 8mS, 80nA,97,155,188,210,146,90,108,2127, 
2024-May-20_14:32:29.358, 8mS, 80nA,99,156,189,212,147,91,108,2193, 
2024-May-20_14:32:29.478, 8mS, 80nA,99,155,188,211,145,89,107,2114, 
2024-May-20_14:32:29.608, 8mS, 80nA,97,155,189,211,147,89,108,2128, 
2024-May-20_14:32:29.728, 8mS, 80nA,100,155,188,210,145,90,106,2224, 
2024-May-20_14:32:29.858, 8mS, 80nA,102,159,192,215,148,91,108,2184, 
2024-May-20_14:32:29.978, 8mS, 80nA,101,161,195,217,152,93,112,2210, 
2024-May-20_14:32:30.108, 8mS, 80nA,104,164,197,220,153,94,112,2314, 
2024-May-20_14:32:30.228, 8mS, 80nA,104,163,196,218,152,94,112,2293, 
2024-May-20_14:32:30.358, 8mS, 80nA,101,161,194,217,151,93,112,2213, 
2024-May-20_14:32:30.478, 8mS, 80nA,105,164,197,220,153,95,113,2337, 
2024-May-20_14:32:30.608, 8mS, 80nA,105,164,197,219,153,95,113,2329, 
2024-May-20_14:32:30.728, 8mS, 80nA,101,161,195,217,151,93,112,2235, 
2024-May-20_14:32:30.858, 8mS, 80nA,106,165,198,221,153,95,113,2347, 
2024-May-20_14:32:30.983, 8mS, 80nA,103,162,196,218,152,94,112,2276, 
2024-May-20_14:32:31.103, 8mS, 80nA,101,161,195,217,152,93,112,2219, 
2024-May-20_14:32:31.233, 8mS, 80nA,105,164,198,221,153,94,113,2323, 
2024-May-20_14:32:31.353, 8mS, 80nA,104,163,197,219,153,94,113,2313, 
2024-May-20_14:32:31.483, 8mS, 80nA,101,161,195,217,153,94,113,2270, 
2024-May-20_14:32:31.605, 8mS, 80nA,106,165,198,221,153,95,113,2351, 
2024-May-20_14:32:31.725, 8mS, 80nA,102,162,196,218,152,94,112,2257, 
2024-May-20_14:32:31.855, 8mS, 80nA,102,162,196,219,153,94,113,2237, 
2024-May-20_14:32:31.975, 8mS, 80nA,105,165,198,221,153,95,113,2340, 
2024-May-20_14:32:32.105, 8mS, 80nA,104,163,197,219,152,93,112,2218, 
2024-May-20_14:32:32.225, 8mS, 80nA,101,161,195,218,152,93,112,2215, 
2024-May-20_14:32:32.355, 8mS, 80nA,105,164,197,220,153,95,113,2327, 
2024-May-20_14:32:32.476, 8mS, 80nA,104,164,197,219,151,93,112,2224, 
2024-May-20_14:32:32.606, 8mS, 80nA,102,162,196,218,152,93,112,2238, 
2024-May-20_14:32:32.726, 8mS, 80nA,105,165,198,221,154,95,113,2338, 
2024-May-20_14:32:32.856, 8mS, 80nA,102,162,196,218,152,93,112,2254, 
2024-May-20_14:32:32.977, 8mS, 80nA,101,161,195,217,152,93,112,2212, 
2024-May-20_14:32:33.107, 8mS, 80nA,104,163,197,219,153,94,113,2299, 
2024-May-20_14:32:33.227, 8mS, 80nA,103,163,196,219,152,94,113,2286, 
